#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.007187 -0.141744 -999 -999 -999
-999 -999 -999 0.012320 -0.198631 -999 -999 -999
-999 -999 -999 0.015914 -0.290851 -999 -999 -999
-999 -999 -999 0.017967 -0.331847 -999 -999 -999
-999 -999 -999 0.022587 -0.356391 -999 -999 -999
-999 -999 -999 0.036961 -0.393893 -999 -999 -999
-999 -999 -999 0.042094 -0.413671 -999 -999 -999
-999 -999 -999 0.046715 -0.494713 -999 -999 -999
-999 -999 -999 0.082136 -0.519737 -999 -999 -999
-999 -999 -999 0.087782 -0.531575 -999 -999 -999
-999 -999 -999 0.130390 -0.564520 -999 -999 -999
-999 -999 -999 0.144251 -0.572331 -999 -999 -999
-999 -999 -999 0.204312 -0.492864 -999 -999 -999
-999 -999 -999 0.219713 -0.497307 -999 -999 -999
-999 -999 -999 0.239220 -0.498893 -999 -999 -999
-999 -999 -999 0.299281 -0.521620 -999 -999 -999
-999 -999 -999 0.417351 -0.520664 -999 -999 -999
-999 -999 -999 0.410164 -0.516575 -999 -999 -999
-999 -999 -999 0.386550 -0.521091 -999 -999 -999
-999 -999 -999 0.339322 -0.580151 -999 -999 -999
-999 -999 -999 0.524127 -0.551287 -999 -999 -999
-999 -999 -999 0.491273 -0.543522 -999 -999 -999
-999 -999 -999 0.430185 -0.498287 -999 -999 -999
-999 -999 -999 0.602156 -0.586978 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=6.144000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.184768 -999 -999 -999
-999 -999 -999 0.990251 0.057176 -999 -999 -999
-999 -999 -999 0.987173 -0.010157 -999 -999 -999
-999 -999 -999 0.822986 -0.349479 -999 -999 -999
-999 -999 -999 0.821960 -0.353290 -999 -999 -999
-999 -999 -999 0.824012 -0.304928 -999 -999 -999
-999 -999 -999 0.740380 -0.353013 -999 -999 -999
-999 -999 -999 0.699846 -0.362357 -999 -999 -999
-999 -999 -999 0.603899 -0.458575 -999 -999 -999
-999 -999 -999 0.000513 0.323277 -999 -999 -999
-999 -999 -999 0.000000 0.355696 -999 -999 -999
-999 -999 -999 0.002565 0.155607 -999 -999 -999
-999 -999 -999 0.985121 -0.026079 -999 -999 -999
-999 -999 -999 0.969728 -0.161946 -999 -999 -999
-999 -999 -999 0.951257 -0.125741 -999 -999 -999
-999 -999 -999 0.943048 -0.136753 -999 -999 -999
-999 -999 -999 0.920472 -0.187181 -999 -999 -999
-999 -999 -999 0.899949 -0.262144 -999 -999 -999
-999 -999 -999 0.886095 -0.276012 -999 -999 -999
-999 -999 -999 0.006157 -0.034473 -999 -999 -999
-999 -999 -999 0.006670 -0.065310 -999 -999 -999
-999 -999 -999 0.007696 -0.086275 -999 -999 -999
-999 -999 -999 0.012314 -0.131926 -999 -999 -999
-999 -999 -999 0.015393 -0.228632 -999 -999 -999
-999 -999 -999 0.018471 -0.328835 -999 -999 -999
-999 -999 -999 0.022576 -0.375273 -999 -999 -999
-999 -999 -999 0.036429 -0.399973 -999 -999 -999
-999 -999 -999 0.042073 -0.392061 -999 -999 -999
-999 -999 -999 0.047204 -0.399895 -999 -999 -999
-999 -999 -999 0.081580 -0.472164 -999 -999 -999
-999 -999 -999 0.088250 -0.491964 -999 -999 -999
-999 -999 -999 0.129297 -0.504490 -999 -999 -999
-999 -999 -999 0.144177 -0.551663 -999 -999 -999
-999 -999 -999 0.202668 -0.547532 -999 -999 -999
-999 -999 -999 0.219087 -0.487021 -999 -999 -999
-999 -999 -999 0.240123 -0.499455 -999 -999 -999
-999 -999 -999 0.297589 -0.510326 -999 -999 -999
-999 -999 -999 0.416624 -0.544710 -999 -999 -999
-999 -999 -999 0.408415 -0.533117 -999 -999 -999
-999 -999 -999 0.380195 -0.525992 -999 -999 -999
-999 -999 -999 0.338122 -0.532628 -999 -999 -999
-999 -999 -999 0.524885 -0.600253 -999 -999 -999
-999 -999 -999 0.490508 -0.586899 -999 -999 -999
-999 -999 -999 0.430990 -0.557348 -999 -999 -999
-999 -999 -999 0.601847 -0.509973 -999 -999 -999
-999 -999 -999 0.546434 -0.610679 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=6.348800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.194669 -999 -999 -999
-999 -999 -999 0.990764 0.103227 -999 -999 -999
-999 -999 -999 0.987173 0.046738 -999 -999 -999
-999 -999 -999 0.822473 -0.389662 -999 -999 -999
-999 -999 -999 0.819395 -0.399467 -999 -999 -999
-999 -999 -999 0.824012 -0.283004 -999 -999 -999
-999 -999 -999 0.740893 -0.334575 -999 -999 -999
-999 -999 -999 0.698307 -0.333058 -999 -999 -999
-999 -999 -999 0.611083 -0.428671 -999 -999 -999
-999 -999 -999 0.000000 0.313414 -999 -999 -999
-999 -999 -999 0.000000 0.351178 -999 -999 -999
-999 -999 -999 0.002052 0.160549 -999 -999 -999
-999 -999 -999 0.985121 0.029938 -999 -999 -999
-999 -999 -999 0.969728 -0.142336 -999 -999 -999
-999 -999 -999 0.950744 -0.120871 -999 -999 -999
-999 -999 -999 0.943561 -0.138615 -999 -999 -999
-999 -999 -999 0.922011 -0.185035 -999 -999 -999
-999 -999 -999 0.899949 -0.253867 -999 -999 -999
-999 -999 -999 0.885582 -0.269242 -999 -999 -999
-999 -999 -999 0.005644 -0.046631 -999 -999 -999
-999 -999 -999 0.006670 -0.074096 -999 -999 -999
-999 -999 -999 0.008209 -0.103766 -999 -999 -999
-999 -999 -999 0.012314 -0.142473 -999 -999 -999
-999 -999 -999 0.014879 -0.206829 -999 -999 -999
-999 -999 -999 0.017958 -0.301831 -999 -999 -999
-999 -999 -999 0.022063 -0.384476 -999 -999 -999
-999 -999 -999 0.035403 -0.365002 -999 -999 -999
-999 -999 -999 0.041560 -0.379540 -999 -999 -999
-999 -999 -999 0.047204 -0.400740 -999 -999 -999
-999 -999 -999 0.080554 -0.480769 -999 -999 -999
-999 -999 -999 0.088250 -0.473175 -999 -999 -999
-999 -999 -999 0.128271 -0.442769 -999 -999 -999
-999 -999 -999 0.144177 -0.535251 -999 -999 -999
-999 -999 -999 0.200616 -0.558444 -999 -999 -999
-999 -999 -999 0.218061 -0.501280 -999 -999 -999
-999 -999 -999 0.240123 -0.513700 -999 -999 -999
-999 -999 -999 0.295023 -0.534546 -999 -999 -999
-999 -999 -999 0.415085 -0.575918 -999 -999 -999
-999 -999 -999 0.405849 -0.578733 -999 -999 -999
-999 -999 -999 0.373525 -0.557473 -999 -999 -999
-999 -999 -999 0.337096 -0.546646 -999 -999 -999
-999 -999 -999 0.525398 -0.615035 -999 -999 -999
-999 -999 -999 0.489482 -0.615300 -999 -999 -999
-999 -999 -999 0.432530 -0.603993 -999 -999 -999
-999 -999 -999 0.596716 -0.542006 -999 -999 -999
-999 -999 -999 0.545408 -0.640891 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=6.553600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.204529 -999 -999 -999
-999 -999 -999 0.991282 0.157241 -999 -999 -999
-999 -999 -999 0.987179 0.113419 -999 -999 -999
-999 -999 -999 0.821538 -0.419377 -999 -999 -999
-999 -999 -999 0.816923 -0.437828 -999 -999 -999
-999 -999 -999 0.824103 -0.275868 -999 -999 -999
-999 -999 -999 0.740513 -0.348093 -999 -999 -999
-999 -999 -999 0.696923 -0.297179 -999 -999 -999
-999 -999 -999 0.617949 -0.397533 -999 -999 -999
-999 -999 -999 0.000000 0.304510 -999 -999 -999
-999 -999 -999 0.000000 0.369056 -999 -999 -999
-999 -999 -999 0.002564 0.170396 -999 -999 -999
-999 -999 -999 0.984615 0.097132 -999 -999 -999
-999 -999 -999 0.969231 -0.111317 -999 -999 -999
-999 -999 -999 0.950256 -0.116691 -999 -999 -999
-999 -999 -999 0.943077 -0.145715 -999 -999 -999
-999 -999 -999 0.922564 -0.182159 -999 -999 -999
-999 -999 -999 0.900000 -0.239891 -999 -999 -999
-999 -999 -999 0.885128 -0.254077 -999 -999 -999
-999 -999 -999 0.005641 -0.019006 -999 -999 -999
-999 -999 -999 0.006667 -0.038901 -999 -999 -999
-999 -999 -999 0.008718 -0.065333 -999 -999 -999
-999 -999 -999 0.012308 -0.121073 -999 -999 -999
-999 -999 -999 0.014872 -0.202551 -999 -999 -999
-999 -999 -999 0.018462 -0.275921 -999 -999 -999
-999 -999 -999 0.022051 -0.344977 -999 -999 -999
-999 -999 -999 0.034359 -0.381577 -999 -999 -999
-999 -999 -999 0.041026 -0.399335 -999 -999 -999
-999 -999 -999 0.047179 -0.421266 -999 -999 -999
-999 -999 -999 0.080000 -0.487937 -999 -999 -999
-999 -999 -999 0.088205 -0.492526 -999 -999 -999
-999 -999 -999 0.127692 -0.479948 -999 -999 -999
-999 -999 -999 0.144103 -0.563771 -999 -999 -999
-999 -999 -999 0.198974 -0.580946 -999 -999 -999
-999 -999 -999 0.217436 -0.528841 -999 -999 -999
-999 -999 -999 0.241026 -0.533815 -999 -999 -999
-999 -999 -999 0.293333 -0.548150 -999 -999 -999
-999 -999 -999 0.413846 -0.608022 -999 -999 -999
-999 -999 -999 0.403590 -0.602844 -999 -999 -999
-999 -999 -999 0.367692 -0.573273 -999 -999 -999
-999 -999 -999 0.335897 -0.558486 -999 -999 -999
-999 -999 -999 0.526154 -0.646799 -999 -999 -999
-999 -999 -999 0.488718 -0.651864 -999 -999 -999
-999 -999 -999 0.433333 -0.632724 -999 -999 -999
-999 -999 -999 0.591795 -0.558384 -999 -999 -999
-999 -999 -999 0.544615 -0.672286 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=6.758400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.217838 -999 -999 -999
-999 -999 -999 0.991287 0.213733 -999 -999 -999
-999 -999 -999 0.987186 0.184049 -999 -999 -999
-999 -999 -999 0.820605 -0.451187 -999 -999 -999
-999 -999 -999 0.814967 -0.475852 -999 -999 -999
-999 -999 -999 0.824193 -0.275896 -999 -999 -999
-999 -999 -999 0.740646 -0.361374 -999 -999 -999
-999 -999 -999 0.696053 -0.266169 -999 -999 -999
-999 -999 -999 0.623270 -0.350336 -999 -999 -999
-999 -999 -999 0.000000 0.305984 -999 -999 -999
-999 -999 -999 0.000000 0.383984 -999 -999 -999
-999 -999 -999 0.002563 0.162524 -999 -999 -999
-999 -999 -999 0.984623 0.167348 -999 -999 -999
-999 -999 -999 0.969247 -0.078312 -999 -999 -999
-999 -999 -999 0.950282 -0.109780 -999 -999 -999
-999 -999 -999 0.943106 -0.148832 -999 -999 -999
-999 -999 -999 0.923629 -0.175792 -999 -999 -999
-999 -999 -999 0.900051 -0.222105 -999 -999 -999
-999 -999 -999 0.884675 -0.236371 -999 -999 -999
-999 -999 -999 0.005638 -0.042582 -999 -999 -999
-999 -999 -999 0.006663 -0.032700 -999 -999 -999
-999 -999 -999 0.008713 -0.083178 -999 -999 -999
-999 -999 -999 0.012301 -0.143940 -999 -999 -999
-999 -999 -999 0.014352 -0.244089 -999 -999 -999
-999 -999 -999 0.018452 -0.308009 -999 -999 -999
-999 -999 -999 0.022040 -0.362827 -999 -999 -999
-999 -999 -999 0.033829 -0.365014 -999 -999 -999
-999 -999 -999 0.041005 -0.358823 -999 -999 -999
-999 -999 -999 0.047155 -0.401607 -999 -999 -999
-999 -999 -999 0.079446 -0.483542 -999 -999 -999
-999 -999 -999 0.088160 -0.489518 -999 -999 -999
-999 -999 -999 0.127114 -0.493803 -999 -999 -999
-999 -999 -999 0.144029 -0.543734 -999 -999 -999
-999 -999 -999 0.197847 -0.559709 -999 -999 -999
-999 -999 -999 0.216812 -0.552065 -999 -999 -999
-999 -999 -999 0.241415 -0.533783 -999 -999 -999
-999 -999 -999 0.291645 -0.563043 -999 -999 -999
-999 -999 -999 0.413121 -0.632067 -999 -999 -999
-999 -999 -999 0.401845 -0.625511 -999 -999 -999
-999 -999 -999 0.362891 -0.611331 -999 -999 -999
-999 -999 -999 0.335213 -0.594722 -999 -999 -999
-999 -999 -999 0.526397 -0.664774 -999 -999 -999
-999 -999 -999 0.487955 -0.673367 -999 -999 -999
-999 -999 -999 0.434136 -0.648656 -999 -999 -999
-999 -999 -999 0.587904 -0.575611 -999 -999 -999
-999 -999 -999 0.543824 -0.695447 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=6.963200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.235268 -999 -999 -999
-999 -999 -999 0.991799 0.263777 -999 -999 -999
-999 -999 -999 0.987186 0.247910 -999 -999 -999
-999 -999 -999 0.820605 -0.497494 -999 -999 -999
-999 -999 -999 0.814454 -0.529340 -999 -999 -999
-999 -999 -999 0.824705 -0.292967 -999 -999 -999
-999 -999 -999 0.740646 -0.373056 -999 -999 -999
-999 -999 -999 0.695541 -0.243841 -999 -999 -999
-999 -999 -999 0.626345 -0.305850 -999 -999 -999
-999 -999 -999 0.000000 0.310886 -999 -999 -999
-999 -999 -999 0.000000 0.400522 -999 -999 -999
-999 -999 -999 0.002563 0.186680 -999 -999 -999
-999 -999 -999 0.984623 0.228293 -999 -999 -999
-999 -999 -999 0.969759 -0.053560 -999 -999 -999
-999 -999 -999 0.950282 -0.100376 -999 -999 -999
-999 -999 -999 0.943106 -0.146376 -999 -999 -999
-999 -999 -999 0.924141 -0.160198 -999 -999 -999
-999 -999 -999 0.900564 -0.194785 -999 -999 -999
-999 -999 -999 0.884675 -0.208881 -999 -999 -999
-999 -999 -999 0.005638 -0.028356 -999 -999 -999
-999 -999 -999 0.006663 0.007408 -999 -999 -999
-999 -999 -999 0.008713 -0.062325 -999 -999 -999
-999 -999 -999 0.012301 -0.113630 -999 -999 -999
-999 -999 -999 0.014352 -0.220318 -999 -999 -999
-999 -999 -999 0.018452 -0.300970 -999 -999 -999
-999 -999 -999 0.022040 -0.373727 -999 -999 -999
-999 -999 -999 0.033316 -0.385336 -999 -999 -999
-999 -999 -999 0.040492 -0.395950 -999 -999 -999
-999 -999 -999 0.047155 -0.423841 -999 -999 -999
-999 -999 -999 0.078934 -0.491290 -999 -999 -999
-999 -999 -999 0.088160 -0.494772 -999 -999 -999
-999 -999 -999 0.126602 -0.539334 -999 -999 -999
-999 -999 -999 0.144029 -0.588305 -999 -999 -999
-999 -999 -999 0.197335 -0.587401 -999 -999 -999
-999 -999 -999 0.216812 -0.592390 -999 -999 -999
-999 -999 -999 0.241415 -0.575327 -999 -999 -999
-999 -999 -999 0.291133 -0.590576 -999 -999 -999
-999 -999 -999 0.413121 -0.634865 -999 -999 -999
-999 -999 -999 0.400820 -0.627870 -999 -999 -999
-999 -999 -999 0.360328 -0.622412 -999 -999 -999
-999 -999 -999 0.334700 -0.601394 -999 -999 -999
-999 -999 -999 0.526909 -0.673476 -999 -999 -999
-999 -999 -999 0.487442 -0.675447 -999 -999 -999
-999 -999 -999 0.434649 -0.669138 -999 -999 -999
-999 -999 -999 0.586366 -0.591016 -999 -999 -999
-999 -999 -999 0.543311 -0.714552 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=7.168000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.266219 -999 -999 -999
-999 -999 -999 0.991799 0.326074 -999 -999 -999
-999 -999 -999 0.987186 0.322219 -999 -999 -999
-999 -999 -999 0.820605 -0.532659 -999 -999 -999
-999 -999 -999 0.813942 -0.571657 -999 -999 -999
-999 -999 -999 0.824705 -0.309306 -999 -999 -999
-999 -999 -999 0.740646 -0.391745 -999 -999 -999
-999 -999 -999 0.695028 -0.228003 -999 -999 -999
-999 -999 -999 0.626345 -0.256866 -999 -999 -999
-999 -999 -999 0.000000 0.293565 -999 -999 -999
-999 -999 -999 0.000000 0.410746 -999 -999 -999
-999 -999 -999 0.002050 0.178250 -999 -999 -999
-999 -999 -999 0.984623 0.297899 -999 -999 -999
-999 -999 -999 0.969759 -0.022092 -999 -999 -999
-999 -999 -999 0.950282 -0.082297 -999 -999 -999
-999 -999 -999 0.943106 -0.137112 -999 -999 -999
-999 -999 -999 0.924141 -0.141263 -999 -999 -999
-999 -999 -999 0.900051 -0.165643 -999 -999 -999
-999 -999 -999 0.884675 -0.180001 -999 -999 -999
-999 -999 -999 0.005126 -0.045701 -999 -999 -999
-999 -999 -999 0.006663 0.010659 -999 -999 -999
-999 -999 -999 0.008713 -0.084697 -999 -999 -999
-999 -999 -999 0.011789 -0.137752 -999 -999 -999
-999 -999 -999 0.014352 -0.236934 -999 -999 -999
-999 -999 -999 0.017940 -0.295315 -999 -999 -999
-999 -999 -999 0.021527 -0.355559 -999 -999 -999
-999 -999 -999 0.033316 -0.382026 -999 -999 -999
-999 -999 -999 0.040492 -0.414568 -999 -999 -999
-999 -999 -999 0.047155 -0.464875 -999 -999 -999
-999 -999 -999 0.078934 -0.537339 -999 -999 -999
-999 -999 -999 0.088160 -0.539752 -999 -999 -999
-999 -999 -999 0.126602 -0.529741 -999 -999 -999
-999 -999 -999 0.144029 -0.587001 -999 -999 -999
-999 -999 -999 0.196822 -0.603701 -999 -999 -999
-999 -999 -999 0.216299 -0.588926 -999 -999 -999
-999 -999 -999 0.241415 -0.576399 -999 -999 -999
-999 -999 -999 0.290620 -0.595625 -999 -999 -999
-999 -999 -999 0.412609 -0.641012 -999 -999 -999
-999 -999 -999 0.400820 -0.633065 -999 -999 -999
-999 -999 -999 0.359815 -0.629225 -999 -999 -999
-999 -999 -999 0.334700 -0.612497 -999 -999 -999
-999 -999 -999 0.526909 -0.685195 -999 -999 -999
-999 -999 -999 0.487442 -0.692297 -999 -999 -999
-999 -999 -999 0.434649 -0.675414 -999 -999 -999
-999 -999 -999 0.585853 -0.610365 -999 -999 -999
-999 -999 -999 0.543311 -0.732008 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=7.372800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.290737 -999 -999 -999
-999 -999 -999 0.991295 0.377500 -999 -999 -999
-999 -999 -999 0.986687 0.381464 -999 -999 -999
-999 -999 -999 0.820276 -0.574440 -999 -999 -999
-999 -999 -999 0.814644 -0.622412 -999 -999 -999
-999 -999 -999 0.824373 -0.340378 -999 -999 -999
-999 -999 -999 0.740399 -0.408711 -999 -999 -999
-999 -999 -999 0.695341 -0.208640 -999 -999 -999
-999 -999 -999 0.624168 -0.204529 -999 -999 -999
-999 -999 -999 0.000000 0.260846 -999 -999 -999
-999 -999 -999 0.000000 0.422355 -999 -999 -999
-999 -999 -999 0.002560 0.160129 -999 -999 -999
-999 -999 -999 0.984127 0.351955 -999 -999 -999
-999 -999 -999 0.969278 -0.007723 -999 -999 -999
-999 -999 -999 0.949821 -0.066422 -999 -999 -999
-999 -999 -999 0.943164 -0.122696 -999 -999 -999
-999 -999 -999 0.923195 -0.113854 -999 -999 -999
-999 -999 -999 0.899642 -0.131209 -999 -999 -999
-999 -999 -999 0.884281 -0.144562 -999 -999 -999
-999 -999 -999 0.005632 -0.023520 -999 -999 -999
-999 -999 -999 0.006656 0.020518 -999 -999 -999
-999 -999 -999 0.008705 -0.095574 -999 -999 -999
-999 -999 -999 0.012289 -0.147745 -999 -999 -999
-999 -999 -999 0.014849 -0.255229 -999 -999 -999
-999 -999 -999 0.018433 -0.331454 -999 -999 -999
-999 -999 -999 0.022017 -0.388345 -999 -999 -999
-999 -999 -999 0.034306 -0.398476 -999 -999 -999
-999 -999 -999 0.040963 -0.416082 -999 -999 -999
-999 -999 -999 0.047107 -0.448222 -999 -999 -999
-999 -999 -999 0.079365 -0.512749 -999 -999 -999
-999 -999 -999 0.088582 -0.508765 -999 -999 -999
-999 -999 -999 0.126984 -0.533852 -999 -999 -999
-999 -999 -999 0.143881 -0.579011 -999 -999 -999
-999 -999 -999 0.198157 -0.614692 -999 -999 -999
-999 -999 -999 0.217102 -0.605009 -999 -999 -999
-999 -999 -999 0.241167 -0.607558 -999 -999 -999
-999 -999 -999 0.291859 -0.628074 -999 -999 -999
-999 -999 -999 0.413210 -0.663131 -999 -999 -999
-999 -999 -999 0.401434 -0.652871 -999 -999 -999
-999 -999 -999 0.362007 -0.642731 -999 -999 -999
-999 -999 -999 0.335381 -0.634882 -999 -999 -999
-999 -999 -999 0.526370 -0.687447 -999 -999 -999
-999 -999 -999 0.487455 -0.698183 -999 -999 -999
-999 -999 -999 0.434204 -0.691018 -999 -999 -999
-999 -999 -999 0.587302 -0.616098 -999 -999 -999
-999 -999 -999 0.543779 -0.739212 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=7.577600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.319077 -999 -999 -999
-999 -999 -999 0.990783 0.419095 -999 -999 -999
-999 -999 -999 0.987199 0.427568 -999 -999 -999
-999 -999 -999 0.821301 -0.614538 -999 -999 -999
-999 -999 -999 0.817204 -0.675361 -999 -999 -999
-999 -999 -999 0.824373 -0.356783 -999 -999 -999
-999 -999 -999 0.740399 -0.440216 -999 -999 -999
-999 -999 -999 0.696877 -0.186519 -999 -999 -999
-999 -999 -999 0.618536 -0.159778 -999 -999 -999
-999 -999 -999 0.000512 0.296459 -999 -999 -999
-999 -999 -999 0.000000 0.465622 -999 -999 -999
-999 -999 -999 0.002560 0.183142 -999 -999 -999
-999 -999 -999 0.984639 0.391386 -999 -999 -999
-999 -999 -999 0.969278 -0.006088 -999 -999 -999
-999 -999 -999 0.950333 -0.058207 -999 -999 -999
-999 -999 -999 0.943164 -0.112210 -999 -999 -999
-999 -999 -999 0.922171 -0.091003 -999 -999 -999
-999 -999 -999 0.900154 -0.098845 -999 -999 -999
-999 -999 -999 0.885305 -0.112556 -999 -999 -999
-999 -999 -999 0.006144 -0.009265 -999 -999 -999
-999 -999 -999 0.006656 0.078988 -999 -999 -999
-999 -999 -999 0.008193 -0.078943 -999 -999 -999
-999 -999 -999 0.012289 -0.165327 -999 -999 -999
-999 -999 -999 0.015361 -0.272587 -999 -999 -999
-999 -999 -999 0.018433 -0.339841 -999 -999 -999
-999 -999 -999 0.022017 -0.390663 -999 -999 -999
-999 -999 -999 0.035330 -0.415579 -999 -999 -999
-999 -999 -999 0.041475 -0.446639 -999 -999 -999
-999 -999 -999 0.047107 -0.492181 -999 -999 -999
-999 -999 -999 0.080389 -0.542796 -999 -999 -999
-999 -999 -999 0.088582 -0.533788 -999 -999 -999
-999 -999 -999 0.128008 -0.584387 -999 -999 -999
-999 -999 -999 0.144393 -0.642103 -999 -999 -999
-999 -999 -999 0.199693 -0.623027 -999 -999 -999
-999 -999 -999 0.217614 -0.629532 -999 -999 -999
-999 -999 -999 0.241167 -0.608167 -999 -999 -999
-999 -999 -999 0.293395 -0.631828 -999 -999 -999
-999 -999 -999 0.414235 -0.656176 -999 -999 -999
-999 -999 -999 0.403482 -0.646888 -999 -999 -999
-999 -999 -999 0.367127 -0.655723 -999 -999 -999
-999 -999 -999 0.335893 -0.643396 -999 -999 -999
-999 -999 -999 0.525858 -0.691690 -999 -999 -999
-999 -999 -999 0.488479 -0.700779 -999 -999 -999
-999 -999 -999 0.433692 -0.692039 -999 -999 -999
-999 -999 -999 0.591398 -0.633356 -999 -999 -999
-999 -999 -999 0.544291 -0.742534 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=7.782400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.345951 -999 -999 -999
-999 -999 -999 0.990271 0.446114 -999 -999 -999
-999 -999 -999 0.987199 0.454096 -999 -999 -999
-999 -999 -999 0.822325 -0.659517 -999 -999 -999
-999 -999 -999 0.819764 -0.719733 -999 -999 -999
-999 -999 -999 0.823861 -0.402442 -999 -999 -999
-999 -999 -999 0.740399 -0.470368 -999 -999 -999
-999 -999 -999 0.698413 -0.199337 -999 -999 -999
-999 -999 -999 0.610855 -0.109053 -999 -999 -999
-999 -999 -999 0.000512 0.222707 -999 -999 -999
-999 -999 -999 0.000000 0.457351 -999 -999 -999
-999 -999 -999 0.002560 0.140302 -999 -999 -999
-999 -999 -999 0.985151 0.415769 -999 -999 -999
-999 -999 -999 0.969278 0.014147 -999 -999 -999
-999 -999 -999 0.950845 -0.033237 -999 -999 -999
-999 -999 -999 0.943164 -0.090208 -999 -999 -999
-999 -999 -999 0.921147 -0.061960 -999 -999 -999
-999 -999 -999 0.899642 -0.065204 -999 -999 -999
-999 -999 -999 0.885817 -0.077580 -999 -999 -999
-999 -999 -999 0.006144 -0.032878 -999 -999 -999
-999 -999 -999 0.006656 0.023916 -999 -999 -999
-999 -999 -999 0.007168 -0.108275 -999 -999 -999
-999 -999 -999 0.012289 -0.191240 -999 -999 -999
-999 -999 -999 0.015361 -0.294589 -999 -999 -999
